_id,objectid,has_wifi,location_name,public_name,address,postal_code,building_type,gis_id,asset_id,owner,neighbourhood,is_nia,is_emerging,ward,ward_number,telephone,website,globalid,geometry
1,1,Y,ALBION ARENA,Albion Arena,1501 ALBION RD,M9V 1B2,Arena,4480,15,City of Toronto,Mount Olive-Silverstone-Jamestown (2),Y,N,Etobicoke North,1,416-394-8690,https://www.toronto.ca/data/parks/prd/facilities/complex/800/index.html,72123f77-df11-4221-b31f-16bf44c22656,"c(-79.5837437502482, 43.7398401501284)"
2,2,Y,ANGELA JAMES ARENA,Angela James Arena,165 GRENOBLE DR,M3C 1E3,Arena,4467,374,City of Toronto,Flemingdon Park (44),Y,N,Don Valley East,16,416-395-7838,https://www.toronto.ca/data/parks/prd/facilities/complex/582/index.html,0d56f0ee-c7b7-4824-96b4-62c9d885c1bb,"c(-79.3275985298847, 43.713206129805)"
3,4,Y,BAYVIEW ARENA,Bayview Arena,3230 BAYVIEW AVE,M2M 3R7,Arena,4473,13009,City of Toronto,Newtonbrook East (50),N,N,Willowdale,18,416-395-7825,https://www.toronto.ca/data/parks/prd/facilities/complex/515/index.html,23acb1b0-616c-430e-99a9-9a2ccc79e043,"c(-79.3937288395685, 43.7879470097307)"
4,8,Y,DOWNSVIEW ARENA,Downsview Arena,1633 WILSON AVE,M3L 1A5,Arena,4495,13022,City of Toronto,Oakdale-Beverley Heights (154),Y,N,Humber River-Black Creek,7,416-395-7831,https://www.toronto.ca/data/parks/prd/facilities/complex/568/index.html,3a3b2a1b-2d21-4874-8309-7014902d01f1,"c(-79.5127705698672, 43.7198348099176)"
5,11,Y,HABITANT ARENA,Habitant Arena,3383 WESTON RD,M9M 2P4,Arena,4359,13029,City of Toronto,Humbermede (22),Y,N,Humber River-Black Creek,7,416-395-7949,https://www.toronto.ca/data/parks/prd/facilities/complex/652/index.html,b18ebce8-9b08-4696-8552-ec52a9ba3787,"c(-79.5402428595642, 43.7470188196909)"
6,13,Y,JOHN BOOTH MEMORIAL ARENA,John Booth Memorial Arena,230 GOSFORD BLVD,M3N 2H1,Arena,4437,13037,City of Toronto,Black Creek (24),Y,N,Humber River-Black Creek,7,416-395-7942,https://www.toronto.ca/data/parks/prd/facilities/complex/667/index.html,21e79599-7f5f-4969-9b50-7843b6490d39,"c(-79.5241920800711, 43.7697087999495)"
7,14,Y,LAMBTON ARENA,Lambton Arena,4100 DUNDAS ST W,M6S 2T7,Arena,4505,1833,City of Toronto,Lambton Baby Point,N,N,Parkdale-High Park,4,416-394-2735,https://www.toronto.ca/data/parks/prd/facilities/complex/479/index.html,77fdf906-a496-4320-a9fd-d6f522a9f80c,"c(-79.5053685597238, 43.6634469096982)"
8,15,Y,LONG BRANCH ARENA,Long Branch Arena,75 ARCADIAN CIR,M8W 2Z5,Arena,4506,1853,City of Toronto,Long Branch (19),N,N,Etobicoke-Lakeshore,3,416-394-8694,https://www.toronto.ca/data/parks/prd/facilities/complex/803/index.html,ce85b85a-12ee-415c-913e-300505e88821,"c(-79.5278364697204, 43.5917876299227)"
9,16,Y,MIMICO ARENA,Mimico Arena,31 DRUMMOND ST,M8V 1Y7,Arena,4508,721,City of Toronto,Mimico-Queensway (160),N,N,Etobicoke-Lakeshore,3,416-394-8695,https://www.toronto.ca/data/parks/prd/facilities/complex/802/index.html,e79f066d-584e-47cf-b8d8-b0e784f6f0bb,"c(-79.4988323602244, 43.6124018898363)"
10,19,Y,VICTORIA VILLAGE ARENA,Victoria Village Arena,190 BERMONDSEY RD,M4A 1Y1,Arena,4346,1075,City of Toronto,Victoria Village (43),Y,N,Don Valley East ,16,416-395-0143,https://www.toronto.ca/data/parks/prd/facilities/complex/771/index.html,bfe93f23-bf0a-4f03-a6c8-ee3d6d4eea1a,"c(-79.3157934004268, 43.7230985602235)"
